Filen innehåller:;;Copyright SMHI 2019;;;;;;;;;;;;;
Kolumn 1: år ;;;;;;;;;;;;;;;
Kolumn 2: årsmedeltemperatur (°C);;;;;;;;;;;;;;;
Kolumn 3: årsmedeltemperaturens avvikelse från 1961-1990 medelvärdet (°C);;;;;;;;;;;;;;;
Kolumn 4: Ett utjämnat långtidsmedelvärde av Kolumn 3 (°C);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
år;temp år;avvikelse år;långtidsmedelvärdenår;temp vår;tempavvikelse vår;långtidsmedelvärde vår;temp sommar;tempavvikelse sommar;långtidsmedelvärde sommar;temp höst;tempavvikelse höst;långtidsmedelvärde;temp vinter;tempavvikelse vinter;långtidsmedelvärde vinter
1860;3,37;-1,29;-0,72;1,52;-1,67;-1,4;14,59;-0,01;-0,42;4,45;-1,1;-0,56;-4,72;0,02;-0,29
1861;4,41;-0,24;-0,71;1,83;-1,36;-1,42;15,64;1,04;-0,51;4,87;-0,67;-0,57;-6,94;-2,2;-0,18
1862;3,47;-1,19;-0,71;2,07;-1,12;-1,46;12,82;-1,78;-0,59;5,79;0,24;-0,59;-5,98;-1,23;-0,09
1863;5,4;0,74;-0,73;2,78;-0,41;-1,52;13,85;-0,75;-0,64;6,43;0,88;-0,64;-1,83;2,91;-0,02
1864;3,16;-1,49;-0,77;0,86;-2,34;-1,57;13,33;-1,27;-0,66;2,85;-2,69;-0,71;-4,34;0,4;0
1865;3,99;-0,66;-0,8;2,15;-1,04;-1,59;13,56;-1,04;-0,65;5,29;-0,25;-0,79;-5,79;-1,05;-0,04
1866;3,98;-0,67;-0,83;0,53;-2,66;-1,58;14,35;-0,25;-0,6;4,87;-0,68;-0,87;-2,23;2,51;-0,13
1867;2,1;-2,55;-0,84;-0,98;-4,17;-1,5;12,99;-1,61;-0,53;4,54;-1,01;-0,94;-6,75;-2,01;-0,25
1868;4,97;0,31;-0,83;3,58;0,39;-1,39;16,19;1,59;-0,45;4,59;-0,96;-0,99;-6,57;-1,83;-0,37
1869;4,26;-0,39;-0,8;2,32;-0,87;-1,27;13,42;-1,18;-0,37;4,09;-1,46;-1,02;-2,93;1,81;-0,46
